title,author,date,topic,classified_content
"Four hours of Mainland Grid Frequency, on Sunday 12th October 2025",Paul McArdle,12-10-2025 01:33:00 PM,2025-10-12,"The summary of the news ""Four hours of Mainland Grid Frequency, on Sunday 12th October 2025"" posted at 12-10-2025 01:33:00 PM is: The article briefly presents a four-hour trend of the National Electricity Market (NEM) Mainland Grid Frequency from 09:00 to 13:00 on Sunday, 12 October 2025, but provides no further details or context regarding any deviations or impacts. Its relevance level is: Level 2 (Relevant). Its category is: Grid frequency issues. Its Timeframe of the event impact on the electricity_market is: Four-hour period on 12 October 2025 from 09:00 to 13:00 (NEM time). Its root_cause is: Unknown. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 12-10-2025. Its affected region is: NEM Mainland (Australian National Electricity Market mainland). Its affected key users is: Unknown. Its cause type is: Unknown. Its causes (a summarized list of cause events) is: Unknown."
The ‘Queensland Energy Roadmap 2025’ is released,Paul McArdle,10-10-2025 01:53:00 PM,2025-10-10,"The summary of the news ""The ‘Queensland Energy Roadmap 2025’ is released"" posted at 10-10-2025 01:53:00 PM is: The Queensland LNP Government released its 'Queensland Energy Roadmap 2025' on October 10, 2025, replacing the previous Labor Government's 2022 plan. The roadmap focuses on building new gas plants, extending coal-fired power operations into the 2050s, and effectively halting new wind and solar projects, sparking media and political debate. Its relevance level is: Level 1. Its category is: coal-fired policies. Its Timeframe of the event impact on the electricity_market is: Long-term (policy effect spanning decades until 2050s). Its root_cause is: Shift in state government energy strategy from renewables to continued reliance on coal and gas. Its accident scale is: Unknown (no accident involved). Its dates (if different from the main date; if the same, repeat the same date) is: 10-10-2025. Its affected region is: Queensland, Australia. Its affected key users is: Electricity consumers, generators, renewable energy developers, and gas/coal industry stakeholders. Its cause type is: Policy decision. Its causes (a summarized list of cause events) is: Release of the 'Queensland Energy Roadmap 2025'; Decision to build new gas plants; Extension of coal-fired generation into the 2050s; Signal to stop new wind and solar projects."
Three themes from NEMDEV 2025,Dan Lee,10-10-2025 12:26:00 PM,NEMDev Conference 2025,"The summary of the news ""Three themes from NEMDEV 2025"" posted at 10-10-2025 12:26:00 PM is: The article covers three key themes from the NEMDEV 2025 conference: the critical but increasingly strained role of gas in managing winter peaks due to declining production and pipeline constraints, rising costs for wind and transmission projects threatening the energy transition, and emerging operational challenges from renewable variability and frequency management. It emphasizes that gas remains essential for firming until long-duration storage matures, but supply issues—especially in Victoria—and cost pressures are mounting, while reforms struggle to keep pace with operational realities.; Its relevance level is: Level 1 (Most Relevant).; Its category is: fuel supply issues (gas).; Its Timeframe of the event impact on the electricity_market is: Medium-term (ongoing and intensifying through the 2030s).; Its root_cause is: The structural challenge of decarbonising the grid while relying on gas for firming, compounded by declining domestic gas production, pipeline constraints, and rising costs for renewables and transmission infrastructure.; Its accident scale is: Unknown (no accident reported).; Its dates is: 10-10-2025.; Its affected region is: Australia’s National Electricity Market (NEM), particularly the southern half (Victoria, South Australia, and New South Wales).; Its affected key users is: Electricity consumers, generators (especially gas-fired and renewable), network operators, and market regulators.; Its cause type is: Economic, regulatory, and supply chain factors.; Its causes is: 1. Declining conventional gas production in Victoria by the 2030s; 2. Pipeline constraints limiting gas flows from Queensland; 3. Rising wind project costs due to inflation, interest rates, and turbine supply costs; 4. Soaring transmission costs (from ~$3-4M/km to ~$10M/km); 5. Increased off-target deviations from semi-scheduled wind and solar farms affecting frequency management; 6. Political and economic barriers to new gas supply development."
"What happens, when Supply ≠ Demand?",Paul McArdle,10-10-2025 08:00:00 AM,2025-10 considering the draft Report of the Nelson Review,"The summary of the news ""What happens, when Supply ≠ Demand?"" posted at 10-10-2025 08:00:00 AM is: The article provides a technical and economic exploration of supply-demand imbalance in the National Electricity Market (NEM), focusing on system frequency disturbances (instantaneous) and dispatch-interval economic inefficiencies. It references the draft Nelson Review report, highlighting how changes in plant mix (coal unit closures, VRE additions) and market rules (FFR, FPP) affect frequency performance. Using examples like the 19 August 2025 event and Bayswater unit trip, it explains the cost implications of oversupply and undersupply, and emphasizes the need to understand various imbalance event types for market efficiency. Its relevance level is: Level 1 (Most Relevant). Its category is: Grid/system instability. Its Timeframe of the event impact on the electricity_market is: Ongoing, with immediate effects on system frequency and economic dispatch intervals, and specific events on 19 August 2025 and earlier dates. Its root_cause is: Imbalance between electricity supply and demand due to changes in plant mix (reduced inertia, VRE additions), forecasting inaccuracies, unit trips, and market rule changes. Its accident scale is: Not an accident; conceptual explanation with illustrative incidents. Its dates (if different from the main date; if the same, repeat the same date) is: 10-10-2025 (main article date) with references to 19 August 2025, 23 March 2017, and 6 November 2020. Its affected region is: National Electricity Market (NEM), Australia. Its affected key users is: AEMO, scheduled and semi-scheduled generators, consumers, and grid operators. Its cause type is: Operational and structural. Its causes (a summarized list of cause events) is: Reduction in system inertia from progressive closure of coal units; addition of variable renewable energy (VRE) under semi-scheduled arrangements; forecasting errors by AEMO; unit trips (e.g., Bayswater unit 3); and introduction of market rules such as Fast Frequency Response (FFR) and Frequency Performance Payments (FPP)."
Why Gladstone’s prospective closure reveals a new kind of NEM failure,Greg Elkins,09-10-2025 09:52:00 AM,Closure of Gladstone,"The summary of the news ""Why Gladstone’s prospective closure reveals a new kind of NEM failure"" posted at 09-10-2025 09:52:00 AM is: Rio Tinto's announcement that Gladstone Power Station (1,680 MW) could close by 2029, six years early, highlights a structural failure in the National Electricity Market (NEM) beyond typical coal-to-renewables transition issues. The article argues that distorted market signals, misplaced risk allocation, interstate knock-on effects (notably Eraring's extension in NSW suppressing Queensland coal revenues), and delays in system-strength investments (e.g., synchronous condensers stuck in RIT-T processes) are driving an uncoordinated exit. With Gladstone already operating at minimum load, the closure threatens system reliability, especially as Queensland's Energy Roadmap projects are not fully operational until after the critical 2028-29 pinch point. The failure stems from a mismatch where governments bear political accountability for blackouts but lack levers to manage orderly exits, while complex ownership and cross-border interventions create chaotic outcomes.  
Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: from 2025 to 2029 and potentially beyond, with critical reliability risks in 2028-2029. Its root_cause is: NEM market design flaws leading to misaligned incentives, delayed system strength investments (RIT-T process), and lack of coordinated planning, exacerbated by interstate interventions and complex ownership structures. Its accident scale is: potential closure of Queensland's largest coal plant (1,680 MW), already effectively mothballed. Its dates (if different from the main date) is: 09-10-2025 (same as news date). Its affected region is: Queensland (Gladstone) and interconnected regions in the NEM, particularly New South Wales due to system strength dependencies. Its affected key users is: Boyne aluminium smelter, Queensland electricity consumers, and all NEM participants reliant on system stability. Its cause type is: Market and regulatory failure. Its causes (a summarized list of cause events) is: 1. Rio Tinto's early closure announcement linked to Boyne contract expiry in 2029; 2. Eraring's extension in NSW suppressing Gladstone's economic case; 3. RIT-T process delays for synchronous condensers in NSW; 4. Complex ownership (Rio Tinto, NRG, Japanese investors) blurring accountability; 5. Lack of interstate planning coordination and inadequate regulatory response to system strength needs."
Aggregate (estimated) curtailment of Large Solar exceeds 70% on Sunday 5th October 2025,Paul McArdle,06-10-2025 11:51:00 AM,2025-09-29,"The summary of the news ""Aggregate (estimated) curtailment of Large Solar exceeds 70% on Sunday 5th October 2025"" posted at 06-10-2025 11:51:00 AM is: On Sunday 5th October 2025, aggregate curtailment of Large Solar across the NEM peaked at 73% at 13:05 NEM time, with only 2,159 MW supplied out of 8,304 MW potential output; the weekend also saw curtailment above 60% on Saturday and a notable collective underperformance on Thursday 2nd October that contributed to frequency deviations, highlighting grid integration challenges.; Its relevance level is: Level 1 (Most Relevant).; Its category is: grid/system instability.; Its Timeframe of the event impact on the electricity_market is: Immediate (during the weekend of 4-5 October 2025, with ongoing effects from preceding days).; Its root_cause is: High solar generation combined with network constraints and economic offloading leading to oversupply curtailment.; Its accident scale is: 73% curtailment (6,145 MW spilled) at peak, with sustained >60% curtailment over the weekend.; Its dates (if different from the main date; if the same, repeat the same date) is: 02-10-2025 to 05-10-2025 (events spanning Thursday 2nd October to Sunday 5th October 2025).; Its affected region is: National Electricity Market (NEM), Australia.; Its affected key users is: Semi-Scheduled Solar Farms, grid operators (AEMO), and market participants.; Its cause type is: Operational curtailment (network and economic).; Its causes (a summarized list of cause events) is: Network curtailment due to grid constraints; Economic offloading due to oversupply and negative pricing; Collective underperformance (positive Dispatch Error) on Thursday 2nd October causing frequency dips; Rapid output fluctuations on Friday 3rd October."
"Also difficult to see any fluctuation in Mainland Frequency on Sunday morning 5th October 2025, with BW02 offline (two-shifting)",Paul McArdle,05-10-2025 03:25:00 PM,2025-10-05,"The summary of the news ""Also difficult to see any fluctuation in Mainland Frequency on Sunday morning 5th October 2025, with BW02 offline (two-shifting)"" posted at 05-10-2025 03:25:00 PM is: On Sunday 5th October 2025, the BW02 generator unit was taken offline by 08:11 NEM time as part of a two-shifting operation, yet the Mainland Frequency remained remarkably stable with no observable downward fluctuation in the minutes prior to the outage, a situation similar to the previous day; this indicates that the unit's absence had negligible impact on grid frequency.  
Its relevance level is: Level 1.  
Its category is: turbine/generator failures.  
Its Timeframe of the event impact on the electricity_market is: Short-term (single day, 5 October 2025).  
Its root_cause is: Scheduled two-shifting operation taking BW02 offline.  
Its accident scale is: Unknown (no accident occurred; planned outage).  
Its dates (if different from the main date; if the same, repeat the same date) is: 05-10-2025.  
Its affected region is: Mainland (NEM – National Electricity Market, Australia).  
Its affected key users is: General electricity consumers on the mainland grid.  
Its cause type is: Operational (scheduled two-shifting).  
Its causes (a summarized list of cause events) is: BW02 unit was taken offline for two-shifting operation; no instability or frequency fluctuation resulted."
"Difficult to see any fluctuation in Mainland Frequency on Saturday morning 4th October 2025, with BW02 offline (two-shifting)",Paul McArdle,05-10-2025 03:13:00 PM,2025-10-04,"The summary of the news ""Difficult to see any fluctuation in Mainland Frequency on Saturday morning 4th October 2025, with BW02 offline (two-shifting)"" posted at 05-10-2025 03:13:00 PM is: On 4th October 2025, the BW02 unit was offline from 08:06 to 15:06 NEM time due to two-shifting operation, but high-speed monitoring in Brisbane showed no noticeable impact on system frequency.; Its relevance level is: Level 2. Its category is: Grid frequency issues. Its Timeframe of the event impact on the electricity_market is: Short-term, during the offline period on 4th October 2025 (08:06 to 15:06 NEM time), with no observed market impact. Its root_cause is: Planned two-shifting operation of BW02 unit. Its accident scale is: None. Its dates is: 04-10-2025 and 05-10-2025. Its affected region is: NEM (Queensland region). Its affected key users is: None. Its cause type is: Operational (two-shifting). Its causes is: BW02 unit taken offline on Saturday 4th October 2025 from 08:06 to 15:06 NEM time for two-shifting."
Talk about two-shifting … such as with BW02 on Saturday 4th and Sunday 5th October 2025,Paul McArdle,05-10-2025 02:41:00 PM,2024-10-07,"The summary of the news ""Talk about two-shifting … such as with BW02 on Saturday 4th and Sunday 5th October 2025"" posted at 05-10-2025 02:41:00 PM is: The article discusses AGL's two‑shifting of Bayswater Unit 2 (BW02) on 4–5 October 2025, a strategy where the boiler remains fired but the turbine is briefly offline to avoid low or negative prices and create midday headroom for renewables. It also notes a coincident AEMO direction for system strength in NSW on 5 October, which was cancelled shortly after BW02 went offline, and cautions observers against misidentifying similar events as two‑shifting without verifying rebid reasons.  
Its relevance level is: Level 2.  
Its category is: market reactions.  
Its Timeframe of the event impact on the electricity_market is: Short‑term (hours on 4–5 October 2025, with previous occurrences in spring and autumn 2025).  
Its root_cause is: AGL’s operational decision to two‑shift BW02 as a cost‑effective alternative to running through very low or negative wholesale prices, while also supporting renewable integration.  
Its accident scale is: Unknown.  
Its dates (if different from the main date; if the same, repeat the same date) is: 4–5 October 2025 (and earlier instances on 27 September 2025, 17/22/26 March/April 2025, etc.).  
Its affected region is: New South Wales, Australia (Bayswater power station).  
Its affected key users is: Electricity market participants (generators, retailers, AEMO).  
Its cause type is: Operational strategy (intentional two‑shifting).  
Its causes (a summarized list of cause events) is:  
- AGL successfully trialled two‑shifting on Bayswater Unit 4 (7 September 2024).  
- Repeat two‑shifting on BW02 occurred in autumn 2025 (17, 22 March; 26 April) and spring 2025 (27 September; 4–5 October).  
- On 5 October 2025, an AEMO direction for system strength was issued at 07:25 and cancelled by 08:30, coinciding with BW02 going offline at 08:11."
"AEMO issues (short-notice, short-lived) direction for System Strength in NSW on Sunday 5th October 2025",Paul McArdle,05-10-2025 08:52:00 AM,2025-10-05,"The summary of the news ""AEMO issues (short-notice, short-lived) direction for System Strength in NSW on Sunday 5th October 2025"" posted at 05-10-2025 08:52:00 AM is: On 5 October 2025, AEMO issued a series of market notices for a short-notice intervention in the NSW region due to a system strength deficiency, directing Snowy Hydro Limited’s MURR2-2 MURRAY2 unit to synchronise and operate as a synchronous condenser from 07:30 to 08:30 hrs. The direction was issued at 07:20, declared an intervention event with no intervention pricing, and was cancelled shortly after at 08:30, resolving the system strength issue without escalation.; Its relevance level is: Level 1 (Most Relevant); Its category is: grid/system instability; Its Timeframe of the event impact on the electricity_market is: Very short-term, from the 07:25 dispatch interval to 08:30 hrs on 05-10-2025; Its root_cause is: Insufficient system strength in the NSW region due to a lack of adequate market response to maintain secure power system operation; Its accident scale is: Minor (short-lived directional intervention, no damage or extended outage); Its dates (if different from the main date; if the same, repeat the same date) is: 05-10-2025; Its affected region is: New South Wales (NSW); Its affected key users is: AEMO (operator), Snowy Hydro Limited (directed participant), and NEM market participants; Its cause type is: Operational/Grid management issue; Its causes (a summarized list of cause events) is: AEMO identified a foreseeable system strength deficiency in NSW requiring intervention; no sufficient market response was received by the 07:20 deadline; AEMO issued a direction to a synchronous condenser to provide system strength; the system returned to a secure state within one hour."
New lowest* point for NEM-wide Market Demand on Saturday 4th October 2025?,Paul McArdle,04-10-2025 10:57:00 AM,2025-10-04,"The summary of the news ""New lowest* point for NEM-wide Market Demand on Saturday 4th October 2025?"" posted at 04-10-2025 10:57:00 AM is: The article reports a new record low for NEM-wide market demand on Saturday 4th October 2025, with the lowest point reaching 9,155 MW at the 12:00 dispatch interval, possibly the lowest ever recorded, indicating a significant drop in electricity consumption across the National Electricity Market. Its relevance level is: Level 2. Its category is: market reactions. Its Timeframe of the event impact on the electricity_market is: short-term (day). Its root_cause is: Unknown. Its accident scale is: Unknown. Its dates is: 04-10-2025. Its affected region is: National Electricity Market (NEM), Australia. Its affected key users is: Unknown. Its cause type is: Unknown. Its causes is: Unknown."
The ENTSO-E ‘Factual Report’ on ‘Grid Incident in Spain and Portugal on 28 April 2025’ is out,Paul McArdle,04-10-2025 09:25:00 AM,April 2025 power outage on Iberian Peninsula in Europe,"The summary of the news ""The ENTSO-E ‘Factual Report’ on ‘Grid Incident in Spain and Portugal on 28 April 2025’ is out"" posted at 04-10-2025 09:25:00 AM is: The ENTSO-E has published a factual report on the severe blackout that struck Spain and Portugal on 28 April 2025, the worst European power system incident in over 20 years, describing system conditions and the sequence of events from 9:00 CEST, while noting that the final report with root causes and recommendations is yet to come; Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: 28 April 2025, with immediate disruption and restoration period. Its root_cause is: Unknown, to be determined in the final report. Its accident scale is: Most severe blackout in the European power system in over 20 years. Its dates is: 28 April 2025. Its affected region is: Spain, Portugal, and France (system conditions considered). Its affected key users is: Citizens and society, electricity consumers, and industrial users. Its cause type is: Grid system instability (under investigation). Its causes is: Unknown; factual report details sequence of events but root causes not yet established."
"AEMO updated MT PASA guidance, on 3rd October 2025",Paul McArdle,04-10-2025 08:29:00 AM,2025-10-03,"The summary of the news ""AEMO updated MT PASA guidance, on 3rd October 2025"" posted at 04-10-2025 08:29:00 AM is: AEMO’s Market Notice 129413, issued on 3 October 2025, updates the Medium-Term Projected Assessment of System Adequacy (MT PASA) for the coming two years. It reports that previous Low Reserve Conditions for South Australia (December 2026 – March 2027) have been resolved due to the extension of operations at Torrens B station, but new concerns have emerged for New South Wales: annual unserved energy exceeding the Reliability Standard is projected between October 2026 and October 2027, with Low Reserve Conditions specifically declared for August 2027 to October 2027. The outlook for NSW remains uncertain because a formal decision on further prolonging Eraring’s operations has not been made, and transmission augmentations such as the Waratah Super Battery Project and Project EnergyConnect Stage 2 are not yet fully commissioned. AEMO notes that upcoming transmission rating increases for lines between Yass and Sydney West may reduce risks, and the market is expected to respond to these signals. Its relevance level is: Level 1. Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: August 2027 to October 2027 (NSW) and previously December 2026 to March 2027 (SA, now resolved). Its root_cause is: Possible closure or delayed extension of Eraring coal-fired plant, combined with transmission constraints that are being addressed by the Waratah BESS and Project EnergyConnect. Its accident scale is: Unknown (no actual accident; projected unserved energy exceeding Reliability Standard). Its dates (if different from the main date; if the same, repeat the same date) is: Notice date 03-10-2025, article date 04-10-2025. Its affected region is: New South Wales (primary), with a resolved risk for South Australia. Its affected key users is: Electricity consumers and market participants in NSW, especially during August–October 2027. Its cause type is: Generation adequacy and transmission limitations. Its causes (a summarized list of cause events) is: 1) Eraring closure decision pending; 2) Transmission augmentations (Waratah BESS, PEC Stage 2) not yet commissioned; 3) Forecast demand exceeding supply under some circumstances in NSW."
Belatedly recording the QLD LNP’s comments about ‘coal for decades’ in September 2025,Paul McArdle,03-10-2025 09:26:00 AM,2025-10-10,"The summary of the news ""Belatedly recording the QLD LNP’s comments about ‘coal for decades’ in September 2025"" posted at 03-10-2025 09:26:00 AM is: The article belatedly records comments made by Queensland LNP leaders in September 2025, including Premier Crisafulli and Treasurer David Janetzki, at the Energy Nation 2025 conference and earlier events, reiterating their commitment to coal-fired power generation for ""decades"", which contrasts with federal Labor's emissions reduction targets and signals a prolonged reliance on coal in Queensland. Its relevance level is: Level 1 (Most Relevant). Its category is: coal-fired policies. Its Timeframe of the event impact on the electricity_market is: Long-term (several decades), anchored by policy statements in September 2025. Its root_cause is: Political commitment by the Queensland LNP to maintain coal-fired power generation. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 24-09-2025 (conference date) and 23-09-2025 (CEDA address), with article posted on 03-10-2025. Its affected region is: Queensland, Australia. Its affected key users is: Power generators, energy consumers, emissions policy stakeholders. Its cause type is: Policy direction. Its causes (a summarized list of cause events) is: (1) LNP's stated intention to keep coal plants operating for decades; (2) Public remarks at the CEDA State of the State address on 23 Sept 2025; (3) Treasurer Janetzki's speech at Energy Nation 2025 on 24 Sept 2025; (4) Contrast with federal Labor's more aggressive climate targets."
VP5 into the Planned part of it’s lengthy Unplanned-Planned-Unplanned outage,Paul McArdle,03-10-2025 08:26:00 AM,2025-08-26 outage at VP5 following 'turbine vibrations',"The summary of the news ""VP5 into the Planned part of it’s lengthy Unplanned-Planned-Unplanned outage"" posted at 03-10-2025 08:26:00 AM is: This article updates the ongoing outage at Vales Point Power Station Unit 5 (VP5), which initially experienced an unplanned shutdown on 27 August 2025 due to turbine vibrations. The outage was later extended from an originally planned return on 9 November 2025 to 15 December 2025, and as of 3 October 2025 the planned maintenance phase has begun, though no further details on the turbine issue have been released. Its relevance level is: Level 1 (Most Relevant). Its category is: turbine/generator failures. Its Timeframe of the event impact on the electricity_market is: 27 August 2025 to 15 December 2025 (ongoing during the news date). Its root_cause is: turbine vibrations leading to an unplanned shutdown. Its accident scale is: single unit (VP5) at a coal-fired power station. Its dates are: 27 August 2025 (initial unplanned outage) to 15 December 2025 (current extended return date). Its affected region is: Vales Point, New South Wales, Australia (Delta Electricity). Its affected key users are: electricity market operators, grid stability managers, and consumers reliant on the unit's generation capacity. Its cause type is: technical failure (mechanical). Its causes are: turbine vibrations that forced an unplanned offline event, followed by a scheduled planned outage that was subsequently extended."
"NEM Mainland Frequency wanders south as the sun sets, on Thursday 2nd October 2025",Paul McArdle,02-10-2025 06:29:00 PM,2025-10-02,"The summary of the news ""NEM Mainland Frequency wanders south as the sun sets, on Thursday 2nd October 2025"" posted at 02-10-2025 06:29:00 PM is: A brief observation of the NEM Mainland grid frequency drifting downward during sunset on 2 October 2025, captured via live readings in Brisbane, indicating a likely imbalance between declining solar generation and load as evening demand rises. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: immediate (within minutes to hours of the sunset event on 2 October 2025). Its root_cause is: decline in solar photovoltaic generation at sunset causing a supply-demand imbalance that pulls frequency below the nominal 50 Hz. Its accident scale is: Unknown (no specific magnitude or duration reported). Its dates (if different from the main date; if the same, repeat the same date) is: 02-10-2025. Its affected region is: NEM Mainland (eastern and southern Australia, excluding Tasmania). Its affected key users is: all electricity consumers, generators, and grid operators on the NEM mainland. Its cause type is: operational/technical. Its causes (a summarized list of cause events) is: [solar generation ramp-down at sunset, insufficient fast frequency response or inertia to counter the ramp, possible delayed or inadequate market dispatch adjustments]."
(3 units at) Torrens B station to remain open until mid-2028 after funding arrangement reached,Paul McArdle,02-10-2025 02:48:00 PM,2025-10-01,"The summary of the news ""(3 units at) Torrens B station to remain open until mid-2028 after funding arrangement reached"" posted at 02-10-2025 02:48:00 PM is: AGL has agreed to keep the Torrens B gas station in South Australia operational until mid-2028 following a funding arrangement with the state government, prompted by transmission delays that created a reliability gap. The extension, which adds capacity from October 2025 to June 2028, resolves the previously forecast reliability shortfall for South Australia in 2026-27, as confirmed by AEMO's updated Electricity Statement of Opportunities (ESOO), eliminating the need for a Retailer Reliability Obligation (RRO) in that period. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: October 2025 to June 2028. Its root_cause is: Transmission delays necessitated the retention of the Torrens B gas plant to ensure grid reliability. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 01-10-2025 (announcement date). Its affected region is: South Australia. Its affected key users is: South Australian electricity consumers, AGL, and AEMO. Its cause type is: Infrastructure delay. Its causes (a summarized list of cause events) is: 1) Transmission delays created a reliability gap for South Australia; 2) The South Australian government requested AGL to keep Torrens Island open; 3) A funding arrangement was negotiated between the government and AGL."
Eraring Unit 3 comes offline early Thursday 2nd October 2025 – on the (delayed) short-notice maintenance outage,Paul McArdle,02-10-2025 08:38:00 AM,2025-10-02,"The summary of the news ""Eraring Unit 3 comes offline early Thursday 2nd October 2025 – on the (delayed) short-notice maintenance outage"" posted at 02-10-2025 08:38:00 AM is: Eraring Unit 3 (ER03) in NSW experienced a delayed short-notice maintenance outage, coming offline on Thursday 2 October 2025 due to issues with one of its ID fans. The outage was originally scheduled for 25 September but postponed multiple times, with the unit now planned to return to service by 13 October 2025, though ST PASA indicates it may be offline at least until 9 October. Its relevance level is: Level 1 (Most Relevant). Its category is: turbine/generator failures. Its Timeframe of the event impact on the electricity_market is: From 2 October 2025 to at least 13 October 2025 (planned return to service). Its root_cause is: Issues with one of the unit’s ID fans. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 02-10-2025. Its affected region is: New South Wales, Australia. Its affected key users is: AEMO and wholesale electricity market participants. Its cause type is: Mechanical failure. Its causes is: ID fan issues leading to short-notice maintenance outage."
ABC reports ‘Rio Tinto’s Gladstone coal-fired power station could be retired early’,Paul McArdle,01-10-2025 12:04:00 PM,2025-10-01,"The summary of the news ""ABC reports ‘Rio Tinto’s Gladstone coal-fired power station could be retired early’"" posted at 01-10-2025 12:04:00 PM is: The article reports that Rio Tinto’s coal-fired power station in Gladstone, Queensland, may be retired earlier than planned, contradicting recent statements by the Queensland LNP government about the future of coal power. This potential early retirement could reduce baseload generation capacity and affect electricity market prices in the region.; Its relevance level is: Level 1 (Most Relevant).; Its category is: coal-fired policies.; Its Timeframe of the event impact on the electricity_market is: Uncertain – if retirement proceeds, impacts would likely occur over a medium to long-term horizon (years).; Its root_cause is: Economic and/or policy pressures for decarbonization, potentially combined with aging plant economics.; Its accident scale is: Unknown.; Its dates (if different from the main date; if the same, repeat the same date) is: 01-10-2025.; Its affected region is: Gladstone, Queensland, Australia.; Its affected key users is: Electricity consumers in Queensland, particularly industrial users and Rio Tinto’s own operations.; Its cause type is: Policy/regulatory or economic decision.; Its causes (a summarized list of cause events) is: Changing energy market conditions, potential emissions reduction targets, possible plant age and maintenance costs."
AEMO forecasts MSL1 for the coming Saturday 4th October 2025 and Sunday 5th October 2025,Paul McArdle,29-09-2025 03:16:00 PM,2025-09-29,"The summary of the news ""AEMO forecasts MSL1 for the coming Saturday 4th October 2025 and Sunday 5th October 2025"" posted at 29-09-2025 03:16:00 PM is: The Australian Energy Market Operator (AEMO) issued two market notices on 29 September 2025, forecasting Minimum System Load (MSL1) conditions in the Victorian region for the upcoming weekend of 4–5 October 2025, due to an elevated risk of insufficient demand—with demand expected to fall below the MSL1 threshold of 1675 MW on Saturday (minimum 1547 MW) and 1535 MW on Sunday (minimum 1399 MW)—prompting concerns about maintaining a secure operating state; Its relevance level is: Level 1 (Most Relevant); Its category is: grid/system instability; Its Timeframe of the event impact on the electricity_market is: 4–5 October 2025 (Saturday and Sunday); Its root_cause is: Insufficient regional demand to maintain a secure operating state; Its accident scale is: MSL1 (forecast demand below advisory thresholds, with specific minimums of 1547 MW on 4 Oct and 1399 MW on 5 Oct); Its dates (if different from the main date) is: 04-10-2025 and 05-10-2025; Its affected region is: Victoria (VIC), Australia; Its affected key users is: Unknown (not specified in the news); Its cause type is: Forecast low demand; Its causes (a summarized list of cause events) is: Low forecast demand due to likely reduced electricity consumption over the weekend (e.g., spring public holiday or seasonal patterns)."
A quick review of QLD solar (and curtailment) on Monday 29th September 2025 with price at MPF,Paul McArdle,29-09-2025 01:08:00 PM,2025-09-26,"The summary of the news ""A quick review of QLD solar (and curtailment) on Monday 29th September 2025 with price at MPF"" posted at 29-09-2025 01:08:00 PM is: On Monday 29 September 2025, Queensland's solar generation experienced significant curtailment and a price drop to the Market Price Floor (–$1,000/MWh) during the 10:05 and 10:10 dispatch intervals. This occurred due to an outage on the Larcom Creek to Calliope River 275kV line, which triggered a hard ramping constraint (R033913_002_RAMP_F) that previously constrained down many solar farms. When the constraint unbound at 10:05, solar output surged by 487 MW to 1,567 MW, driving prices to the floor. The article reviews aggregate solar output and curtailment over preceding days (26–28 September) and highlights the role of transmission constraints in causing price volatility. Its relevance level is: Level 1 (Most Relevant). Its category is: grid/system instability. Its Timeframe of the event impact on the electricity_market is: immediate (10:05 and 10:10 dispatch intervals on 29 September 2025). Its root_cause is: outage on the Larcom Creek to Calliope River 275kV line leading to a hard ramping constraint. Its accident scale is: Unknown. Its dates (if different from the main date; if the same, repeat the same date) is: 29-09-2025. Its affected region is: Queensland (QLD). Its affected key users is: solar farms (including Clermont, Emerald, Columboola, Aldoga, Collinsville, Daydream, Hamilton, Hayman, and others). Its cause type is: transmission line outage. Its causes (a summarized list of cause events) is: (1) Outage on the Larcom Creek to Calliope River 275kV line; (2) Activation of hard ramping constraint equation #R033913_002_RAMP_F; (3) Unbinding of the constraint at 10:05 dispatch interval; (4) Resultant increase in solar output by 487 MW, driving prices to the Market Price Floor."
